Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,1,1,3,3,2,0,4,1,6,21
1,10,3,1,1,0,0,0,0,1,16
2,2,9,8,1,2,1,0,0,0,23
3,7,1,1,1,1,0,0,2,8,21
4,19,7,0,0,0,0,0,0,5,31
5,1,1,0,0,0,0,0,0,2,4
All,40,22,13,6,5,1,4,3,22,116
