Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,8,0,3,4,3,0,3,21
1,10,1,0,0,0,2,3,16
2,16,1,2,0,0,1,3,23
3,12,0,0,1,0,0,8,21
4,25,0,1,1,0,0,4,31
5,2,0,0,0,0,0,2,4
All,73,2,6,6,3,3,23,116
