Visual_Cluster_ID,base_beautiful,prof_ceo,prof_cleaner,prof_doctor,prof_nurse,soc_poor,All
0,0,0,0,5,21,0,26
1,0,0,0,0,0,18,18
2,0,21,0,0,0,0,21
3,21,0,0,0,0,0,21
4,0,0,19,0,0,0,19
5,0,0,0,16,0,0,16
All,21,21,19,21,21,18,121
