Visual_Cluster_ID,3,4,5,6,7,Unclear,All
0,0,0,10,4,6,1,21
1,5,3,6,0,0,2,16
2,2,1,20,0,0,0,23
3,0,1,20,0,0,0,21
4,13,3,15,0,0,0,31
5,0,0,4,0,0,0,4
All,20,8,75,4,6,3,116
