Visual_Cluster_ID,3,4,5,6,7,All
0,0,0,21,0,0,21
1,1,0,20,0,0,21
2,0,0,21,0,0,21
3,0,0,21,0,0,21
4,0,0,0,6,15,21
5,14,3,4,0,0,21
All,15,3,87,6,15,126
