Visual_Cluster_ID,2,3,4,5,6,Unclear,All
0,1,20,0,0,0,0,21
1,5,15,0,0,0,0,20
2,1,20,0,0,0,0,21
3,0,20,0,0,1,0,21
4,7,8,0,0,0,3,18
5,0,0,3,17,1,0,21
All,14,83,3,17,2,3,122
