Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,0,0,1,8,0,12,21
1,0,0,0,1,0,19,20
2,0,0,1,11,2,7,21
3,0,0,0,2,0,19,21
4,2,1,0,0,1,14,18
5,3,0,2,4,5,7,21
All,5,1,4,26,8,78,122
