Visual_Cluster_ID,2,3,4,5,6,7,All
0,0,4,3,9,4,1,21
1,6,8,1,1,0,0,16
2,12,9,1,0,1,0,23
3,6,14,1,0,0,0,21
4,21,10,0,0,0,0,31
5,0,3,1,0,0,0,4
All,45,48,7,10,5,1,116
