Visual_Cluster_ID,2,3,4,5,6,7,8,9,Unclear,All
0,2,5,0,1,0,0,0,0,8,16
1,1,3,5,4,5,4,0,0,0,22
2,6,3,1,6,4,0,0,0,0,20
3,13,9,2,1,0,0,0,0,1,26
4,0,0,0,0,2,10,4,2,0,18
5,6,15,0,0,0,0,0,0,0,21
6,12,6,0,1,0,0,0,0,0,19
7,2,10,3,0,0,0,0,0,1,16
8,6,5,1,1,1,0,0,0,10,24
9,0,1,0,3,1,0,0,0,0,5
All,48,57,12,17,13,14,4,2,20,187
