Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,1,1,0,0,0,14,16
1,1,9,1,0,3,8,22
2,4,6,0,2,1,7,20
3,0,0,1,4,0,21,26
4,1,2,2,0,3,10,18
5,4,0,0,3,0,14,21
6,1,3,0,4,1,10,19
7,0,2,0,1,3,10,16
8,1,1,1,1,0,20,24
9,0,0,0,1,1,3,5
All,13,24,5,16,12,117,187
