Visual_Cluster_ID,Asian,Black,Indian,Middle Eastern,Unclear,White,All
0,5,0,0,0,6,5,16
1,1,15,0,0,0,6,22
2,4,10,0,0,0,6,20
3,2,2,0,1,0,21,26
4,5,7,5,1,0,0,18
5,4,0,0,0,0,17,21
6,4,1,0,3,0,11,19
7,1,3,0,2,0,10,16
8,6,0,0,0,13,5,24
9,1,0,2,0,1,1,5
All,33,38,7,7,20,82,187
