Visual_Cluster_ID,3,4,5,7,All
0,0,0,21,0,21
1,2,0,19,0,21
2,8,0,13,0,21
3,0,0,6,15,21
4,0,0,21,0,21
5,4,2,15,0,21
All,14,2,95,15,126
