Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,3,1,0,0,0,6,6,16
1,0,15,0,0,1,0,6,22
2,1,10,1,0,3,0,5,20
3,0,1,4,1,0,0,20,26
4,0,6,12,0,0,0,0,18
5,4,0,0,0,0,0,17,21
6,1,1,4,0,2,0,11,19
7,0,3,1,0,2,0,10,16
8,4,0,0,0,1,13,6,24
9,0,0,2,0,0,0,3,5
All,13,37,24,1,9,19,84,187
