Visual_Cluster_ID,Asian,Indian,Middle Eastern,White,All
0,0,0,1,20,21
1,15,2,3,1,21
2,7,0,0,14,21
3,0,0,1,20,21
4,15,0,0,6,21
5,4,3,5,9,21
All,41,5,10,70,126
