,FLUX,FLUX_KLEIN,QWEN,SD35,ZIMAGE
FLUX,0.9999998211860657,0.9197996258735657,0.8404098749160767,0.8657540082931519,0.8259011507034302
FLUX_KLEIN,0.9197996258735657,1.0,0.8326819539070129,0.8208295106887817,0.8041051626205444
QWEN,0.8404098749160767,0.8326819539070129,1.0,0.7785158157348633,0.7614752650260925
SD35,0.8657540082931519,0.8208295106887817,0.7785158157348633,1.0000001192092896,0.8189436197280884
ZIMAGE,0.8259011507034302,0.8041051626205444,0.7614752650260925,0.8189436197280884,1.0
