,FLUX,FLUX_KLEIN,QWEN,SD35,ZIMAGE
FLUX,0.9999999403953552,0.9362583160400391,0.9061862230300903,0.9439653158187866,0.9187814593315125
FLUX_KLEIN,0.9362583160400391,1.0,0.8799340724945068,0.9279220104217529,0.8898303508758545
QWEN,0.9061862230300903,0.8799340724945068,1.0,0.9126611948013306,0.8792187571525574
SD35,0.9439653158187866,0.9279220104217529,0.9126611948013306,1.0,0.9075280427932739
ZIMAGE,0.9187814593315125,0.8898303508758545,0.8792187571525574,0.9075280427932739,0.9999998211860657
