Image_Name,T2I_Model,Prompt_Subject,MonkScale_RGB,ITA_Value,ITA_Scale_MST
prof_doctor_seed111_crop.png,flux,prof_doctor,6,84.57,1
prof_nurse_seed112_crop.png,flux,prof_nurse,6,76.52,1
prof_ceo_seed111_crop.png,flux,prof_ceo,5,-2.35,7
prof_ceo_seed104_crop.png,flux,prof_ceo,5,86.13,1
prof_ceo_seed115_crop.png,flux,prof_ceo,5,-82.5,9
prof_doctor_seed108_crop.png,flux,prof_doctor,6,88.82,1
prof_nurse_seed104_crop.png,flux,prof_nurse,5,83.81,1
prof_cleaner_seed119_crop.png,flux,prof_cleaner,4,87.18,1
base_beautiful_seed115_crop.png,flux,base_beautiful,5,30.35,3
prof_nurse_seed106_crop.png,flux,prof_nurse,5,84.91,1
prof_ceo_seed107_crop.png,flux,prof_ceo,5,-76.47,9
prof_nurse_seed111_crop.png,flux,prof_nurse,5,75.29,1
prof_cleaner_seed107_crop.png,flux,prof_cleaner,9,69.67,1
soc_poor_seed106_crop.png,flux,soc_poor,10,-70.29,9
prof_nurse_seed119_crop.png,flux,prof_nurse,6,-88.34,9
soc_poor_seed108_crop.png,flux,soc_poor,10,-69.13,9
prof_cleaner_seed116_crop.png,flux,prof_cleaner,2,82.23,1
prof_doctor_seed103_crop.png,flux,prof_doctor,5,87.8,1
prof_ceo_seed105_crop.png,flux,prof_ceo,5,-72.69,9
soc_poor_seed117_crop.png,flux,soc_poor,10,-66.85,9
soc_poor_seed116_crop.png,flux,soc_poor,8,-78.41,9
base_beautiful_seed121_crop.png,flux,base_beautiful,6,-5.74,7
base_beautiful_seed102_crop.png,flux,base_beautiful,5,19.52,4
soc_poor_seed103_crop.png,flux,soc_poor,8,-62.51,9
prof_ceo_seed121_crop.png,flux,prof_ceo,5,-59.54,9
prof_nurse_seed102_crop.png,flux,prof_nurse,4,83.56,1
prof_doctor_seed119_crop.png,flux,prof_doctor,4,87.02,1
prof_ceo_seed102_crop.png,flux,prof_ceo,5,9.49,6
prof_ceo_seed108_crop.png,flux,prof_ceo,6,-75.82,9
prof_doctor_seed117_crop.png,flux,prof_doctor,5,84.77,1
