Visual_Cluster_ID,Man,Unclear,Woman,All
0,4,7,9,20
1,21,0,0,21
2,16,0,26,42
3,6,0,0,6
4,11,2,5,18
5,1,0,20,21
6,5,0,0,5
7,21,0,2,23
8,10,7,3,20
9,9,0,2,11
All,104,16,67,187
