Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,6,1,6,0,2,6,21
1,12,1,0,0,2,9,24
2,12,1,1,4,2,3,23
3,12,0,0,1,0,8,21
4,2,1,0,0,0,6,9
5,8,0,0,0,1,9,18
All,52,4,7,5,7,41,116
