Visual_Cluster_ID,10,3,5,6,7,8,9,Unclear,All
0,0,0,2,11,0,0,0,7,20
1,0,0,0,14,6,1,0,0,21
2,0,5,24,13,0,0,0,0,42
3,0,0,1,5,0,0,0,0,6
4,3,0,0,0,1,2,12,0,18
5,0,1,2,13,2,2,1,0,21
6,0,0,0,2,3,0,0,0,5
7,0,0,8,15,0,0,0,0,23
8,0,0,1,13,0,0,0,6,20
9,0,0,4,7,0,0,0,0,11
All,3,6,42,93,12,5,13,13,187
