Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,5,1,0,0,0,9,5,20
1,0,14,0,1,0,1,5,21
2,2,6,1,0,1,3,29,42
3,3,0,0,0,0,0,3,6
4,7,3,6,0,1,1,0,18
5,4,11,0,1,2,0,3,21
6,0,0,3,0,0,1,1,5
7,5,1,0,0,0,0,17,23
8,6,1,0,0,0,12,1,20
9,2,0,1,0,0,0,8,11
All,34,37,11,2,4,27,72,187
