Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,3,0,0,0,1,12,4,20
1,0,14,0,0,1,0,6,21
2,0,4,5,1,2,0,30,42
3,0,0,2,0,1,0,3,6
4,0,6,12,0,0,0,0,18
5,1,11,1,0,3,0,5,21
6,0,0,2,0,0,0,3,5
7,4,1,1,0,0,0,17,23
8,4,1,0,0,0,7,8,20
9,1,0,1,0,1,0,8,11
All,13,37,24,1,9,19,84,187
