Visual_Cluster_ID,Asian,Black,Indian,Middle Eastern,Unclear,White,All
0,7,0,7,4,2,1,21
1,23,1,0,0,0,0,24
2,11,2,3,4,0,3,23
3,11,0,0,0,0,10,21
4,3,0,0,0,2,4,9
5,8,0,1,3,0,6,18
All,63,3,11,11,4,24,116
