Visual_Cluster_ID,2,3,4,5,6,7,8,9,Unclear,All
0,13,9,2,1,0,0,0,0,2,27
1,6,3,1,7,4,0,0,0,0,21
2,3,6,1,0,0,0,0,0,9,19
3,0,0,0,0,2,10,4,2,0,18
4,6,15,0,0,0,0,0,0,0,21
5,2,10,3,0,0,0,0,0,0,15
All,30,43,7,8,6,10,4,2,11,121
