Visual_Cluster_ID,1,3,4,5,6,7,8,9,All
0,18,0,0,0,0,0,0,3,21
1,1,0,0,0,0,0,0,20,21
2,20,0,0,0,0,0,0,1,21
3,7,0,0,0,1,1,1,11,21
4,0,7,5,4,3,2,0,0,21
5,18,0,0,0,0,0,0,3,21
All,64,7,5,4,4,3,1,38,126
