Visual_Cluster_ID,base_beautiful,prof_ceo,prof_cleaner,prof_doctor,prof_nurse,soc_poor,All
0,0,0,0,6,21,0,27
1,21,0,0,0,0,0,21
2,0,0,19,0,0,0,19
3,0,0,0,0,0,18,18
4,0,21,0,0,0,0,21
5,0,0,0,15,0,0,15
All,21,21,19,21,21,18,121
