Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,11,0,4,0,5,0,1,21
1,23,1,0,0,0,0,0,24
2,19,1,0,0,0,0,3,23
3,12,0,0,1,0,0,8,21
4,5,0,0,0,0,3,1,9
5,11,0,0,0,1,0,6,18
All,81,2,4,1,6,3,19,116
