Visual_Cluster_ID,2,3,4,5,6,7,All
0,0,4,3,9,4,1,21
1,20,3,0,1,0,0,24
2,12,9,1,0,1,0,23
3,6,14,1,0,0,0,21
4,1,7,1,0,0,0,9
5,6,11,1,0,0,0,18
All,45,48,7,10,5,1,116
