Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,1,1,1,0,0,17,20
1,1,9,1,0,3,7,21
2,0,2,1,5,3,31,42
3,0,0,0,3,1,2,6
4,1,2,2,0,3,10,18
5,4,6,0,2,1,8,21
6,0,0,0,1,1,3,5
7,4,1,0,4,0,14,23
8,1,1,0,1,0,17,20
9,1,2,0,0,0,8,11
All,13,24,5,16,12,117,187
