Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,0,1,4,1,0,0,21,27
1,1,11,1,0,3,0,5,21
2,1,0,0,0,0,11,7,19
3,0,6,12,0,0,0,0,18
4,4,0,0,0,0,0,17,21
5,0,3,1,0,2,0,9,15
All,6,21,18,1,5,11,59,121
