Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,11,2,0,1,0,0,0,0,6,20
1,12,0,2,0,0,1,2,1,3,21
2,25,4,0,1,0,0,0,0,12,42
3,2,1,0,0,0,0,0,1,2,6
4,4,2,0,2,0,1,5,2,2,18
5,9,2,2,0,2,3,0,0,3,21
6,1,2,0,0,0,1,0,0,1,5
7,13,0,0,2,0,0,0,1,7,23
8,9,0,0,0,1,1,0,0,9,20
9,4,0,1,0,1,1,0,0,4,11
All,90,13,5,6,4,8,7,5,49,187
