Visual_Cluster_ID,3,4,5,6,7,Unclear,All
0,0,0,10,4,6,1,21
1,14,5,5,0,0,0,24
2,2,1,20,0,0,0,23
3,0,1,20,0,0,0,21
4,1,1,5,0,0,2,9
5,3,0,15,0,0,0,18
All,20,8,75,4,6,3,116
