Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,9,0,1,0,0,0,11,21
1,0,0,1,4,6,0,10,21
2,1,1,0,3,0,0,16,21
3,0,0,0,0,0,4,13,17
4,10,0,1,0,0,0,10,21
5,2,0,0,1,0,0,18,21
All,22,1,3,8,6,4,78,122
