Visual_Cluster_ID,2,3,4,5,6,7,8,9,Unclear,All
0,0,6,2,2,0,0,0,0,13,23
1,0,7,4,5,0,0,0,0,0,16
2,0,0,2,20,1,0,0,0,0,23
3,1,0,0,6,6,6,2,0,0,21
4,0,2,5,12,2,0,0,0,0,21
5,0,0,0,0,3,8,2,5,0,18
6,0,1,0,12,3,0,0,0,6,22
7,0,2,0,15,0,0,0,0,0,17
8,0,0,0,13,1,0,0,0,0,14
9,0,9,0,3,0,0,0,0,0,12
All,1,27,13,88,16,14,4,5,19,187
