Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,13,2,0,1,0,0,0,0,7,23
1,9,4,0,1,0,0,0,0,2,16
2,13,0,0,2,0,0,0,1,7,23
3,12,0,2,0,0,1,2,1,3,21
4,9,2,2,0,2,3,0,0,3,21
5,4,2,0,2,0,1,5,2,2,18
6,8,2,0,0,1,2,0,0,9,22
7,6,1,1,0,1,1,0,1,6,17
8,6,0,0,0,0,0,0,0,8,14
9,10,0,0,0,0,0,0,0,2,12
All,90,13,5,6,4,8,7,5,49,187
