Visual_Cluster_ID,Asian,Black,Indian,Middle Eastern,Unclear,White,All
0,7,0,7,4,2,1,21
1,16,1,0,0,0,0,17
2,11,0,0,0,0,10,21
3,11,2,3,4,0,3,23
4,11,0,0,0,2,4,17
5,7,0,1,3,0,6,17
All,63,3,11,11,4,24,116
