Visual_Cluster_ID,3,5,6,7,8,9,Unclear,All
0,0,0,7,12,2,0,0,21
1,6,9,1,0,1,0,0,17
2,0,16,5,0,0,0,0,21
3,1,14,7,0,0,1,0,23
4,2,13,1,0,0,0,1,17
5,3,8,6,0,0,0,0,17
All,12,60,27,12,3,1,1,116
