Visual_Cluster_ID,2,3,4,5,6,Unclear,All
0,1,20,0,0,0,0,21
1,0,0,3,17,1,0,21
2,0,20,0,0,1,0,21
3,7,7,0,0,0,3,17
4,1,20,0,0,0,0,21
5,5,16,0,0,0,0,21
All,14,83,3,17,2,3,122
