Visual_Cluster_ID,3,4,5,6,7,Unclear,All
0,0,0,10,4,6,1,21
1,9,3,5,0,0,0,17
2,0,1,20,0,0,0,21
3,2,1,20,0,0,0,23
4,5,3,7,0,0,2,17
5,4,0,13,0,0,0,17
All,20,8,75,4,6,3,116
