Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,0,0,1,4,0,22,27
1,1,2,2,0,3,10,18
2,4,6,0,2,1,8,21
3,1,0,1,1,0,16,19
4,4,0,0,3,0,14,21
5,0,2,0,1,3,9,15
All,10,10,4,11,7,79,121
