Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,8,0,3,4,3,0,3,21
1,16,1,0,0,0,0,0,17
2,12,0,0,1,0,0,8,21
3,16,1,2,0,0,1,3,23
4,12,0,0,0,0,2,3,17
5,9,0,1,1,0,0,6,17
All,73,2,6,6,3,3,23,116
