Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,0,3,1,0,0,2,21,27
1,7,3,6,0,1,1,0,18
2,4,11,0,1,2,0,3,21
3,4,0,0,0,0,12,3,19
4,4,0,0,0,0,0,17,21
5,2,3,0,0,1,1,8,15
All,21,20,7,1,4,16,52,121
