Visual_Cluster_ID,base_beautiful,prof_ceo,prof_cleaner,prof_doctor,prof_nurse,soc_poor,All
0,0,0,0,21,0,0,21
1,0,0,0,0,0,21,21
2,21,0,0,0,0,0,21
3,0,0,17,0,0,0,17
4,0,21,0,0,0,0,21
5,0,0,0,0,21,0,21
All,21,21,17,21,21,21,122
