Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,11,0,4,0,5,0,1,21
1,16,1,0,0,0,0,0,17
2,12,0,0,1,0,0,8,21
3,19,1,0,0,0,0,3,23
4,13,0,0,0,0,3,1,17
5,10,0,0,0,1,0,6,17
All,81,2,4,1,6,3,19,116
