Visual_Cluster_ID,2,3,4,5,6,7,8,9,Unclear,All
0,7,6,1,0,1,0,0,0,8,23
1,5,7,2,1,0,0,0,0,1,16
2,6,16,0,1,0,0,0,0,0,23
3,1,3,5,3,5,4,0,0,0,21
4,6,3,1,7,4,0,0,0,0,21
5,0,0,0,0,2,10,4,2,0,18
6,1,5,0,5,1,0,0,0,10,22
7,12,5,0,0,0,0,0,0,0,17
8,2,9,3,0,0,0,0,0,0,14
9,8,3,0,0,0,0,0,0,1,12
All,48,57,12,17,13,14,4,2,20,187
