Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,4,0,0,0,1,13,5,23
1,0,1,3,1,1,0,10,16
2,4,1,1,0,0,0,17,23
3,0,14,0,0,1,0,6,21
4,1,11,1,0,3,0,5,21
5,0,6,12,0,0,0,0,18
6,3,1,2,0,0,6,10,22
7,1,0,3,0,2,0,11,17
8,0,3,1,0,1,0,9,14
9,0,0,1,0,0,0,11,12
All,13,37,24,1,9,19,84,187
