Visual_Cluster_ID,Asian,Black,Indian,Middle Eastern,Unclear,White,All
0,2,2,0,1,0,22,27
1,5,7,5,1,0,0,18
2,4,11,0,0,0,6,21
3,4,0,0,0,10,5,19
4,4,0,0,0,0,17,21
5,1,3,0,2,0,9,15
All,20,23,5,4,10,59,121
