Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,6,1,6,0,2,6,21
1,9,0,0,0,1,7,17
2,12,0,0,1,0,8,21
3,12,1,1,4,2,3,23
4,4,2,0,0,1,10,17
5,9,0,0,0,1,7,17
All,52,4,7,5,7,41,116
