Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,1,1,3,3,2,0,4,1,6,21
1,10,4,1,0,0,0,0,0,2,17
2,7,1,1,1,1,0,0,2,8,21
3,2,9,8,1,2,1,0,0,0,23
4,12,3,0,1,0,0,0,0,1,17
5,8,4,0,0,0,0,0,0,5,17
All,40,22,13,6,5,1,4,3,22,116
