Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,10,3,1,1,2,2,0,1,1,21
1,0,0,0,0,0,0,0,0,21,21
2,8,7,1,3,2,0,0,0,0,21
3,0,0,1,2,5,6,3,4,0,21
4,0,0,0,0,0,0,0,1,20,21
5,8,2,2,0,0,1,1,2,5,21
All,26,12,5,6,9,9,4,8,47,126
