Visual_Cluster_ID,3,5,6,7,8,9,Unclear,All
0,0,0,7,12,2,0,0,21
1,0,16,6,0,0,0,0,22
2,1,7,2,0,0,0,1,11
3,1,14,7,0,0,1,0,23
4,5,13,0,0,1,0,0,19
5,5,10,5,0,0,0,0,20
All,12,60,27,12,3,1,1,116
