Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,1,1,3,0,0,6,1,12
1,0,0,0,0,0,0,3,3
2,2,4,0,0,1,1,10,18
3,4,0,0,0,0,0,17,21
4,7,3,6,0,1,1,0,18
5,4,10,0,1,2,0,3,20
6,6,1,1,0,0,0,11,19
7,0,15,0,1,0,1,2,19
8,0,2,1,0,0,2,19,24
9,10,1,0,0,0,16,6,33
All,34,37,11,2,4,27,72,187
