Visual_Cluster_ID,Asian,Indian,Middle Eastern,Unclear,White,All
0,5,0,3,0,13,21
1,0,0,0,0,21,21
2,1,0,0,0,20,21
3,12,8,0,1,0,21
4,10,0,0,0,11,21
5,15,0,0,0,6,21
All,43,8,3,1,71,126
