Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,8,0,3,4,3,0,3,21
1,12,0,0,1,0,0,9,22
2,6,0,0,0,0,2,3,11
3,16,1,2,0,0,1,3,23
4,18,1,0,0,0,0,0,19
5,13,0,1,1,0,0,5,20
All,73,2,6,6,3,3,23,116
