Visual_Cluster_ID,2,3,4,5,6,7,8,9,Unclear,All
0,0,2,0,4,1,0,0,0,5,12
1,1,0,2,0,0,0,0,0,0,3
2,4,10,4,0,0,0,0,0,0,18
3,6,15,0,0,0,0,0,0,0,21
4,0,0,0,0,2,10,4,2,0,18
5,6,3,1,6,4,0,0,0,0,20
6,12,6,0,1,0,0,0,0,0,19
7,0,3,3,4,5,4,0,0,0,19
8,11,9,1,1,0,0,0,0,2,24
9,8,9,1,1,1,0,0,0,13,33
All,48,57,12,17,13,14,4,2,20,187
