Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,1,1,3,3,2,0,4,1,6,21
1,8,2,1,1,1,0,0,2,7,22
2,6,2,0,1,0,0,0,0,2,11
3,2,9,8,1,2,1,0,0,0,23
4,13,4,1,0,0,0,0,0,1,19
5,10,4,0,0,0,0,0,0,6,20
All,40,22,13,6,5,1,4,3,22,116
