Visual_Cluster_ID,base_beautiful,prof_ceo,prof_cleaner,prof_doctor,prof_nurse,soc_poor,All
0,0,0,0,21,0,0,21
1,0,21,0,0,0,0,21
2,21,0,0,0,0,0,21
3,0,0,0,0,0,21,21
4,0,0,17,0,1,0,18
5,0,0,0,0,20,0,20
All,21,21,17,21,21,21,122
