Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,11,0,4,0,5,0,1,21
1,12,0,0,1,0,0,9,22
2,7,0,0,0,0,3,1,11
3,19,1,0,0,0,0,3,23
4,18,1,0,0,0,0,0,19
5,14,0,0,0,1,0,5,20
All,81,2,4,1,6,3,19,116
