Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,4,2,0,0,1,2,0,0,3,12
1,1,0,2,0,0,0,0,0,0,3
2,8,1,0,0,0,0,0,0,9,18
3,12,0,0,2,0,0,0,1,6,21
4,4,2,0,2,0,1,5,2,2,18
5,8,2,2,0,2,3,0,0,3,20
6,7,1,1,0,1,1,0,1,7,19
7,12,0,0,0,0,1,2,1,3,19
8,17,3,0,1,0,0,0,0,3,24
9,17,2,0,1,0,0,0,0,13,33
All,90,13,5,6,4,8,7,5,49,187
