Visual_Cluster_ID,3,4,5,6,7,8,9,Unclear,All
0,14,4,5,0,0,0,0,0,23
1,2,5,12,2,0,0,0,0,21
2,0,0,0,3,8,2,5,0,18
3,0,2,19,0,0,0,0,0,21
4,3,0,5,0,0,0,0,11,19
5,2,0,16,1,0,0,0,0,19
All,21,11,57,6,8,2,5,11,121
