Visual_Cluster_ID,2,3,4,5,Unclear,All
0,0,20,1,0,0,21
1,0,0,0,21,0,21
2,11,10,0,0,0,21
3,1,17,1,1,1,21
4,0,19,2,0,0,21
5,6,14,1,0,0,21
All,18,80,5,22,1,126
