Visual_Cluster_ID,Asian,Black,Indian,Middle Eastern,Unclear,White,All
0,7,0,7,4,2,1,21
1,11,0,0,0,0,11,22
2,5,0,0,0,2,4,11
3,11,2,3,4,0,3,23
4,18,1,0,0,0,0,19
5,11,0,1,3,0,5,20
All,63,3,11,11,4,24,116
