Visual_Cluster_ID,3,4,5,6,7,Unclear,All
0,0,0,10,4,6,1,21
1,0,1,21,0,0,0,22
2,2,1,6,0,0,2,11
3,2,1,20,0,0,0,23
4,12,3,4,0,0,0,19
5,4,2,14,0,0,0,20
All,20,8,75,4,6,3,116
