Visual_Cluster_ID,2,3,4,5,6,7,8,9,Unclear,All
0,11,9,1,1,0,0,0,0,1,23
1,6,3,1,7,4,0,0,0,0,21
2,0,0,0,0,2,10,4,2,0,18
3,6,15,0,0,0,0,0,0,0,21
4,3,6,1,0,0,0,0,0,9,19
5,4,10,4,0,0,0,0,0,1,19
All,30,43,7,8,6,10,4,2,11,121
